,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
19,18,1971,1971-10-17,5,5,29.254,DAL,@,NOR,L 14-24,,7,10,70.00,117,2,1,109.2,2,3,11.70,11.20,2,12,6.00,0,,,,,0,0,Roger Staubach,StauRo00
20,19,1971,1971-10-24,6,6,29.261,DAL,,NWE,W 44-21,*,13,21,61.90,197,2,0,124.5,1,3,9.38,11.29,2,15,7.50,1,,,,,1,6,Roger Staubach,StauRo00
21,20,1971,1971-10-31,7,7,29.268,DAL,@,CHI,L 19-23,,7,11,63.64,87,0,1,50.2,1,2,7.91,3.82,4,24,6.00,0,,,,,0,0,Roger Staubach,StauRo00
22,21,1971,1971-11-07,8,8,29.275,DAL,@,STL,W 16-13,*,20,31,64.52,199,1,0,93.3,1,0,6.42,7.06,7,60,8.57,0,,,,,0,0,Roger Staubach,StauRo00
23,22,1971,1971-11-14,9,9,29.282,DAL,,PHI,W 20-7,*,14,28,50.00,176,0,0,69.9,5,47,6.29,6.29,6,90,15.00,0,,,,,0,0,Roger Staubach,StauRo00
24,23,1971,1971-11-21,10,10,29.289,DAL,@,WAS,W 13-0,*,11,21,52.38,151,0,0,75.7,3,18,7.19,7.19,5,49,9.80,1,,,,,1,6,Roger Staubach,StauRo00
25,24,1971,1971-11-25,11,11,29.293,DAL,,RAM,W 28-21,*,8,14,57.14,176,2,0,141.4,1,10,12.57,15.43,6,35,5.83,0,,,,,0,0,Roger Staubach,StauRo00
26,25,1971,1971-12-04,12,12,29.302,DAL,,NYJ,W 52-10,*,10,15,66.67,168,3,0,143.9,1,8,11.20,15.20,1,3,3.00,0,,,,,0,0,Roger Staubach,StauRo00
27,26,1971,1971-12-12,13,13,29.310,DAL,@,NYG,W 42-14,*,10,14,71.43,232,3,0,153.3,1,12,16.57,20.86,,,,,,,,,0,0,Roger Staubach,StauRo00
28,27,1971,1971-12-18,14,14,29.316,DAL,,STL,W 31-12,*,10,16,62.50,147,1,1,87.2,3,29,9.19,7.63,2,24,12.00,0,,,,,0,0,Roger Staubach,StauRo00
29,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
30,28,1972,1972-11-19,10,10,30.288,DAL,@,PHI,W 28-7,,1,3,33.33,16,0,1,12.5,2,17,5.33,-9.67,,,,,,,,,0,0,Roger Staubach,StauRo00
31,29,1972,1972-11-23,11,11,30.292,DAL,,SFO,L 10-31,,1,5,20.00,12,0,0,39.6,3,22,2.40,2.40,2,21,10.50,0,,,,,0,0,Roger Staubach,StauRo00
32,30,1972,1972-12-03,12,12,30.302,DAL,@,STL,W 27-6,,1,3,33.33,21,0,0,59.0,1,5,7.00,7.00,2,20,10.00,0,,,,,0,0,Roger Staubach,StauRo00
33,31,1972,1972-12-17,14,14,30.316,DAL,,NYG,L 3-23,,6,9,66.67,49,0,1,40.7,2,15,5.44,0.44,2,4,2.00,0,,,,,0,0,Roger Staubach,StauRo00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
35,32,1973,1973-09-16,1,1,31.223,DAL,@,CHI,W 20-17,*,9,22,40.91,91,2,2,45.8,2,7,4.14,1.86,7,29,4.14,0,,,,,0,0,Roger Staubach,StauRo00
36,33,1973,1973-09-24,2,2,31.231,DAL,,NOR,W 40-3,*,10,15,66.67,124,1,1,86.5,1,11,8.27,6.60,3,15,5.00,0,,,,,0,0,Roger Staubach,StauRo00
37,34,1973,1973-09-30,3,3,31.237,DAL,,STL,W 45-10,*,17,22,77.27,276,2,0,148.9,1,7,12.55,14.36,3,15,5.00,1,,,,,1,6,Roger Staubach,StauRo00
38,35,1973,1973-10-08,4,4,31.245,DAL,@,WAS,L 7-14,*,9,17,52.94,101,1,0,90.6,7,45,5.94,7.12,3,16,5.33,0,,,,,0,0,Roger Staubach,StauRo00
39,36,1973,1973-10-14,5,5,31.251,DAL,@,RAM,L 31-37,*,15,25,60.00,173,2,3,68.0,3,23,6.92,3.12,3,28,9.33,0,,,,,0,0,Roger Staubach,StauRo00
40,37,1973,1973-10-21,6,6,31.258,DAL,,NYG,W 45-28,*,8,11,72.73,146,2,1,116.5,4,20,13.27,12.82,3,29,9.67,0,,,,,0,0,Roger Staubach,StauRo00
41,38,1973,1973-10-28,7,7,31.265,DAL,@,PHI,L 16-30,*,24,38,63.16,250,2,2,77.7,3,18,6.58,5.26,3,17,5.67,0,,,,,0,0,Roger Staubach,StauRo00
